iter	Passed	Remaining
745	1363	464
746	1364	462
747	1367	460
748	1368	458
749	1370	456
750	1372	455
751	1374	453
752	1375	451
753	1377	449
754	1379	447
755	1381	445
756	1383	444
757	1385	442
758	1387	440
759	1389	438
760	1391	437
761	1393	435
762	1395	433
763	1397	431
764	1399	430
765	1401	428
766	1403	426
767	1406	424
768	1408	422
769	1410	421
770	1412	419
771	1414	417
772	1416	416
773	1418	414
774	1420	412
775	1423	411
776	1425	409
777	1427	407
778	1429	405
779	1431	403
780	1433	401
781	1435	400
782	1437	398
783	1439	396
784	1441	394
785	1443	392
786	1444	391
787	1447	389
788	1449	387
789	1451	385
790	1453	384
791	1455	382
792	1457	380
793	1459	378
794	1461	376
795	1463	374
796	1464	373
797	1465	371
798	1467	369
799	1469	367
800	1470	365
801	1471	363
802	1473	361
803	1475	359
804	1476	357
805	1477	355
806	1479	353
807	1481	351
808	1482	350
809	1484	348
810	1485	346
811	1487	344
812	1488	342
813	1490	340
814	1492	338
815	1493	336
816	1495	334
817	1496	333
818	1498	331
819	1500	329
820	1502	327
821	1503	325
822	1505	323
823	1507	321
824	1508	320
825	1510	318
826	1511	316
827	1513	314
828	1514	312
829	1515	310
830	1517	308
831	1519	306
832	1520	304
833	1521	302
834	1523	300
835	1524	299
836	1526	297
837	1527	295
838	1528	293
839	1530	291
840	1531	289
841	1532	287
842	1533	285
843	1535	283
844	1536	281
845	1538	280
846	1539	278
847	1540	276
848	1541	274
849	1542	272
850	1544	270
851	1545	268
852	1546	266
853	1547	264
854	1548	262
855	1549	260
856	1550	258
857	1551	256
858	1552	254
859	1553	252
860	1554	251
861	1556	249
862	1557	247
863	1558	245
864	1559	243
865	1560	241
866	1561	239
867	1562	237
868	1563	235
869	1564	233
870	1565	231
871	1566	229
872	1568	228
873	1569	226
874	1570	224
875	1571	222
876	1572	220
877	1573	218
878	1575	216
879	1576	214
880	1577	213
881	1578	211
882	1579	209
883	1580	207
884	1582	205
885	1583	203
886	1584	201
887	1585	200
888	1587	198
889	1588	196
890	1589	194
891	1590	192
892	1591	190
893	1593	188
894	1594	187
895	1596	185
896	1597	183
897	1598	181
898	1600	179
899	1601	177
900	1602	176
901	1604	174
902	1605	172
903	1607	170
904	1608	168
905	1609	167
906	1610	165
907	1612	163
908	1614	161
909	1615	159
910	1616	157
911	1618	156
912	1619	154
913	1620	152
914	1622	150
915	1623	148
916	1625	147
917	1626	145
918	1627	143
919	1628	141
920	1629	139
921	1631	138
922	1633	136
923	1634	134
924	1635	132
925	1636	130
926	1638	129
927	1640	127
928	1641	125
929	1642	123
930	1643	121
931	1645	120
932	1646	118
933	1647	116
934	1648	114
935	1650	112
936	1652	111
937	1653	109
938	1655	107
939	1656	105
940	1658	103
941	1659	102
942	1660	100
943	1662	98
944	1663	96
945	1664	95
946	1665	93
947	1666	91
948	1668	89
949	1669	87
950	1670	86
951	1672	84
952	1673	82
953	1675	80
954	1677	79
955	1679	77
956	1682	75
957	1683	73
958	1685	72
959	1686	70
960	1688	68
961	1689	66
962	1690	64
963	1691	63
964	1692	61
965	1693	59
966	1695	57
967	1696	56
968	1697	54
969	1698	52
970	1699	50
971	1700	48
972	1701	47
973	1702	45
974	1703	43
975	1704	41
976	1705	40
977	1707	38
978	1708	36
979	1709	34
980	1710	33
981	1711	31
982	1712	29
983	1713	27
984	1714	26
985	1715	24
986	1716	22
987	1717	20
988	1718	19
989	1720	17
990	1721	15
991	1722	13
992	1723	12
993	1723	10
994	1725	8
995	1726	6
996	1727	5
997	1728	3
998	1729	1
999	1730	0
